               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10863,            0.025223,            0.079449,           0.0025327,             0.54459,            0.011289,           0.0030532,            0.076375,             0.01663,            0.070765,               0.082,               0.002,               0.002
                   1,             0.08045,            0.032329,            0.069572,           0.0038153,             0.79884,             0.03362,            0.011943,            0.062434,            0.014997,            0.053939,            0.063059,           0.0040594,           0.0040594
                   2,            0.068902,            0.030821,            0.065939,             0.49421,               0.125,            0.061011,             0.02275,            0.060681,             0.01794,            0.052895,            0.044077,           0.0060772,           0.0060772
                   3,            0.065019,            0.030344,            0.059781,              0.2791,             0.15187,            0.063531,            0.025912,            0.061387,            0.014288,            0.047448,            0.025053,           0.0080535,           0.0080535
                   4,               0.064,             0.02764,            0.055165,             0.26781,             0.13921,             0.06855,            0.028771,            0.055742,             0.01121,            0.051989,            0.009604,            0.009604,            0.009604
                   5,            0.057292,            0.025544,            0.060511,            0.016621,             0.81514,            0.068014,            0.034567,            0.059717,            0.010857,            0.041457,            0.009604,            0.009604,            0.009604
                   6,            0.054839,            0.024225,            0.052711,             0.27767,             0.19441,             0.10932,            0.051008,            0.052878,            0.011961,             0.04391,            0.009505,            0.009505,            0.009505
                   7,            0.055172,            0.023983,            0.051896,             0.23568,             0.20285,            0.064003,            0.026805,            0.053601,            0.011431,            0.056983,            0.009406,            0.009406,            0.009406
                   8,            0.053112,            0.025981,            0.048078,            0.099476,             0.24113,             0.08824,            0.037436,             0.05474,            0.011851,            0.038896,            0.009307,            0.009307,            0.009307
                   9,            0.050878,            0.024737,            0.049872,             0.93265,            0.045635,            0.089113,            0.045012,            0.043493,            0.012886,            0.038671,            0.009208,            0.009208,            0.009208
                  10,            0.047917,             0.02268,            0.050694,             0.22941,              0.1978,             0.11239,             0.05705,            0.043787,            0.012348,            0.042119,            0.009109,            0.009109,            0.009109
                  11,            0.045846,            0.022478,            0.053751,             0.37968,             0.26845,             0.14184,            0.073143,            0.054864,            0.010672,            0.036077,             0.00901,             0.00901,             0.00901
                  12,            0.047889,            0.024572,            0.045608,             0.28896,             0.26107,             0.13751,            0.072324,            0.044703,            0.010408,            0.036351,            0.008911,            0.008911,            0.008911
                  13,            0.046642,            0.023043,            0.043382,             0.29645,             0.21082,             0.18157,             0.11266,            0.043219,             0.01051,            0.035248,            0.008812,            0.008812,            0.008812
                  14,            0.044326,            0.024156,            0.047827,             0.30354,             0.22849,             0.17418,             0.10579,            0.041559,            0.010626,            0.034578,            0.008713,            0.008713,            0.008713
                  15,             0.04457,            0.021293,            0.048625,             0.40287,             0.25998,             0.19504,             0.11723,            0.040908,            0.010729,            0.036988,            0.008614,            0.008614,            0.008614
                  16,             0.04381,            0.024754,            0.046221,              0.3563,             0.24429,             0.20432,             0.12018,            0.039734,            0.011292,            0.039304,            0.008515,            0.008515,            0.008515
                  17,            0.043317,            0.023532,            0.045245,             0.75301,             0.17806,              0.2321,             0.13619,            0.045461,            0.010367,            0.040694,            0.008416,            0.008416,            0.008416
                  18,             0.04521,            0.024013,            0.040554,             0.42626,             0.32228,             0.26866,              0.1465,            0.039828,            0.010493,            0.037206,            0.008317,            0.008317,            0.008317
                  19,            0.043931,            0.023708,            0.042523,             0.33079,             0.43057,             0.25135,             0.14854,            0.041873,            0.010328,            0.034939,            0.008218,            0.008218,            0.008218
                  20,            0.044196,            0.023936,            0.038662,             0.26367,             0.38801,             0.24704,              0.1622,            0.046501,            0.010765,            0.050617,            0.008119,            0.008119,            0.008119
                  21,            0.042531,            0.021363,            0.040281,             0.47088,              0.3661,             0.31102,             0.19132,            0.044574,             0.01018,            0.033736,             0.00802,             0.00802,             0.00802
                  22,            0.042224,            0.023501,            0.035345,             0.33387,             0.45605,               0.323,               0.207,            0.041572,            0.010091,            0.030799,            0.007921,            0.007921,            0.007921
                  23,            0.043502,            0.022307,            0.035931,              0.3594,             0.46335,             0.32297,             0.18876,             0.03972,           0.0099062,            0.028292,            0.007822,            0.007822,            0.007822
                  24,             0.04247,            0.022081,             0.03678,             0.38379,             0.45261,             0.34038,              0.1846,            0.041499,            0.010276,            0.030678,            0.007723,            0.007723,            0.007723
                  25,             0.04156,            0.022873,            0.036524,             0.24686,              0.5747,             0.37341,             0.22148,            0.040735,             0.01037,            0.029609,            0.007624,            0.007624,            0.007624
                  26,            0.042686,            0.023068,            0.033641,             0.47553,             0.44888,             0.43168,             0.24787,             0.04289,           0.0098651,            0.028446,            0.007525,            0.007525,            0.007525
                  27,            0.043619,            0.022095,            0.030589,             0.44491,              0.5626,             0.50372,             0.28548,            0.040389,           0.0097447,            0.028836,            0.007426,            0.007426,            0.007426
